id,username,email,phone_number,password,first_name,last_name,birth_date,avatar_url,address,created_date,updated_date,deleted_date
1,dev,dev@app.local,,,Dev,Developer,,,,2024-02-27,,
2,dev0,Tracy47@yahoo.com,0334543678,123456aA@,Tracy,Braun,2017-03-14,https://loremflickr.com/640/480/cats?lock=72704,"santa monica, california, usa",2024-02-27,,
3,dev1,Nigel11@gmail.com,0334543678,123456aA@,Nigel,Romaguera,2017-03-14,https://loremflickr.com/640/480/cats?lock=51706,"santa monica, california, usa",2024-02-27,,
4,dev2,Giovani_Kertzmann1@yahoo.com,0334543678,123456aA@,Giovani,Kertzmann,2017-03-14,https://loremflickr.com/640/480/cats?lock=61548,"santa monica, california, usa",2024-02-27,,
5,dev3,Charlotte_Blick64@gmail.com,0334543678,123456aA@,Charlotte,Blick,2017-03-14,https://loremflickr.com/640/480/cats?lock=67541,"santa monica, california, usa",2024-02-27,,
6,dev4,Adonis_Labadie65@gmail.com,0334543678,123456aA@,Adonis,Labadie,2017-03-14,https://loremflickr.com/640/480/cats?lock=23601,"santa monica, california, usa",2024-02-27,,
7,dev5,Toby.Emmerich@hotmail.com,0334543678,123456aA@,Toby,Emmerich,2017-03-14,https://loremflickr.com/640/480/cats?lock=4462,"santa monica, california, usa",2024-02-27,,
8,dev6,Adolph_Runolfsson@hotmail.com,0334543678,123456aA@,Adolph,Runolfsson,2017-03-14,https://loremflickr.com/640/480/cats?lock=72736,"santa monica, california, usa",2024-02-27,,
9,dev7,Leda_Bauch43@yahoo.com,0334543678,123456aA@,Leda,Bauch,2017-03-14,https://loremflickr.com/640/480/cats?lock=73742,"santa monica, california, usa",2024-02-27,,
10,dev8,Lilian.Weber10@gmail.com,0334543678,123456aA@,Lilian,Weber,2017-03-14,https://loremflickr.com/640/480/cats?lock=39704,"santa monica, california, usa",2024-02-27,,
11,dev9,Loyce39@yahoo.com,0334543678,123456aA@,Loyce,Wiza,2017-03-14,https://loremflickr.com/640/480/cats?lock=9074,"santa monica, california, usa",2024-02-27,,
12,dev10,Edmond.OConner@yahoo.com,0334543678,123456aA@,Edmond,O'Conner,2017-03-14,https://loremflickr.com/640/480/cats?lock=74665,"santa monica, california, usa",2024-02-27,,
13,dev11,Mekhi_Becker30@yahoo.com,0334543678,123456aA@,Mekhi,Becker,2017-03-14,https://loremflickr.com/640/480/cats?lock=46429,"santa monica, california, usa",2024-02-27,,
